date,month,season,yday,site_id,cyan,hapto,green,cryp,dino,dict,raph,diat
2019-05-14,5,spring,134,DFO2,0.031984735280275345,0.19068920612335205,0.7228485643863678,2.76582924524943,0.2715752174456914,0,0.2901739353934924,1.7268852392832439
2019-06-11,6,spring,162,DFO2,0.032966362312436104,0.004276149906218052,0.030264978607495625,0.8539077937602997,0.013323385346059998,0.011740339919924736,0,2.610856215159098
2019-07-06,7,summer,187,DFO2,0.09530541424949963,0.1461594725648562,0.29518404851357144,1.1009157697359722,0.4381997187932332,0.012666081738037368,0.052439337596297264,3.124358375867208
2019-08-05,8,summer,217,DFO2,0.2656448756655057,0.08431502059102058,0.5120560973882675,2.7361554702123008,0.18880265951156616,0,0.2894533450404803,0.06916374030212562
2019-09-02,9,summer,245,DFO2,0.06675419087211291,0.004713459580671042,0.100242896626393,1.2607495486736298,0.4357595344384511,0.15460226808985075,0.1035472188765804,4.803643782933553
2019-10-04,10,autumn,277,DFO2,0,0.030183949197332065,0.3715791354576747,0.6195134222507477,0.16186262170473734,0,0.11680457182228565,0.25144197046756744
2020-05-04,5,spring,125,DFO2,0.012871225209285816,0.020375163294374943,0.06692531456549962,0.39516886572043103,0.4901225020488103,0.367254043618838,0.1495036594569683,1.1815229654312134
2020-06-06,6,spring,158,DFO2,0.024700052725772064,0.050168671955664955,0.14619579166173935,0.3729046831528346,0.2231025422612826,0.2501136561234792,0.1386272025605043,0.1435316875576973
2020-07-06,7,summer,188,DFO2,0.05471116304397583,0,0.14611451824506125,0.4041163772344589,0.10095861554145813,0.1797818218668302,0.12404353668292363,0.18266614278157553
2020-08-08,8,summer,221,DFO2,0.030605288222432137,0.0020100318652112037,0.04934790606300036,0.24228578805923462,0.1453484408557415,0.35034513970216113,0,1.3696903189023335
2020-09-05,9,summer,249,DFO2,0.025709828672309715,0,0.07048407879968484,0.175655168791612,0.062435523296395935,0.12482474371790886,0,0.09836457918087642
2020-10-04,10,autumn,278,DFO2,0.005408839827092986,0.026774571587642033,0.08174880966544151,0.27389458070198697,0.1167691300312678,0.1609224503238996,0.07307131960988045,0.473598172267278
2019-05-11,5,spring,131,KC10,0.02144820025811593,0.03185582502434651,0.2180245965719223,1.4471037983894348,0.5188919752836227,0.005721304255227248,0.04920737356102715,2.68300453821818
