Date,Station,Cyanobacteria,Hapto,Prasinophytes-3,Cryptophytes,Dinoflagellates-1,Raphido,Dictyo,Diatoms-1
1/21/2019,KC10,5.9282E-05,0,0.088642867,0.199940679,0.103041853,0.106475025,0.001826827,0.538314213
1/24/2019,DFO2,6.07535E-05,0.019026296,0.05974881,0.050921124,0.072538478,0.110370944,0,0.106941617
2/14/2019,KC10,0,0.021090287,0.081563407,0.067107456,0.066880483,0.101523288,0.137507118,0
2/19/2019,DFO2,0.189844412,0.025879235,0.096324128,0.059084459,0.095194065,0.126701063,0,0.314288105
3/13/2019,KC10,0,0.038520366,0.17498178,0.497613053,0.098604238,0.144656378,0.215009404,0.161377504
3/15/2019,DFO2,0.326164017,0.008139458,0.118913457,0.772257015,0.027761237,0,0.145722499,5.145132144
4/18/2019,KC10,0.021735152,0.045449908,0.031595526,0.194892824,0.126160542,0,0.00211141,0.380797346
4/19/2019,DFO2,0.01005783,0.000477092,0.079027946,0.400035655,0.18737335,0.120019396,0.04141186,1.220675528
5/11/2019,KC10,0.0214482,0.031855825,0.218024597,1.447103798,0.518891975,0.049207374,0.005721304,2.683004538
5/13/2019,QCS01,0.477337057,0.010773219,0.106703586,1.399028977,0.032391733,0,0.052447404,10.07871405
5/14/2019,DFO2,0.031984735,0.190689206,0.722848564,2.765829245,0.271575217,0.290173935,0,1.726885239
6/9/2019,QCS01,0.043434531,0.225725772,0.160415332,0.426031366,0.2174546,0.11226568,0,1.601642231
6/10/2019,KC10,0.037415368,0.216034504,0.238659007,0.945865234,0.323657875,0.065180852,0.018448753,2.823616624
6/11/2019,DFO2,0.032966362,0.00427615,0.030264979,0.853907794,0.013323385,0,0.01174034,2.610856215
7/6/2019,DFO2,0.095305414,0.146159473,0.295184049,1.10091577,0.438199719,0.052439338,0.012666082,3.124358376
7/7/2019,QCS01,0.112706815,0.512473593,0.08422144,0.816151718,0.520314594,0.1503753,0,2.56256036
7/10/2019,KC10,0.049029117,0.116955311,0.029358798,0.254556117,0.295265307,0.122884999,0,0.733945688
8/3/2019,KC10,0.103943843,0.171137487,0.173307076,0.653032869,0.15052248,0.100675762,0,0.269294041
8/5/2019,DFO2,0.265644876,0.084315021,0.512056097,2.73615547,0.18880266,0.289453345,0,0.06916374
8/6/2019,QCS01,0.162017355,0.914808979,0.435496221,0.860487123,0.580147093,0.115356729,0,2.146093965
8/31/2019,QCS01,0.05021169,0.714589049,0.331220508,1.323985596,0.66571794,0.51766025,1.223369996,0
9/1/2019,KC10,0.101319388,0.276230832,0.369511877,1.489687423,0.499456947,1.03772219,0.303484688,0.247203695
9/2/2019,DFO2,0.066754191,0.00471346,0.100242897,1.260749549,0.435759534,0.103547219,0.154602268,4.803643783
10/1/2019,KC10,0.030606534,0.034940792,0.110473889,0.257299768,0.08911483,0.153467017,0.138838227,0
10/4/2019,DFO2,0,0.030183949,0.371579135,0.619513422,0.161862622,0.116804572,0,0.25144197
10/5/2019,QCS01,0.038666817,0.400179043,0.118828256,0.461282174,0.169788813,0.125567811,0.617754002,0
11/25/2019,DFO2,0.000922639,0.016076786,0.064857218,0.121141164,0.072364135,0.097074493,0,0
11/26/2019,KC10,0.000574867,0.05025525,0.094110992,0.217112795,0.091481128,0.088238335,0.162572026,0
11/28/2019,QCS01,0.000127362,0.027250375,0.048854605,0.066254383,0.067331534,0.087041593,0,0
2/11/2020,KC10,0,0.017762719,0.068638578,0.057116037,0.075118513,0.076248778,0.138816984,0.035636876
2/12/2020,DFO2,0.000836889,0.023124837,0.078434393,0.279212646,0.076377546,0,0.168173013,0.464564179
4/30/2020,KC10,0.011702017,0.008615483,0.148828569,0.900059655,0.447611555,0,1.030105313,6.719460487
5/1/2020,QCS01,0.000823454,0.004517633,0.047670693,0.589800154,0.30754967,0,0.781640947,3.305772066
5/4/2020,DFO2,0.012871225,0.020375163,0.066925315,0.395168866,0.490122502,0.149503659,0.367254044,1.181522965
6/4/2020,KC10,0.053847676,0.000155742,0.139378705,0.746988893,0.233645149,0,0.299709852,1.293167075
6/6/2020,DFO2,0.024700053,0.050168672,0.146195792,0.372904683,0.223102542,0.138627203,0.250113656,0.143531688
6/8/2020,QCS01,0.041969923,0.096441101,0.151689512,0.572084829,0.208397351,0,0.247109542,1.048338145
7/2/2020,KC10,0.145052357,0.007671372,0.099505158,1.373558164,0.304621533,0,0.091537962,3.670106332
7/5/2020,QCS01,0.12135732,0.002481723,0.245471629,0.777981013,0.225456141,0.046386832,0.499384234,2.070090195
7/6/2020,DFO2,0.054711163,0,0.146114518,0.404116377,0.100958616,0.124043537,0.179781822,0.182666143
8/7/2020,KC10,0.046209632,0.108941834,0.039114358,0.524898723,0.208158543,0.15034482,0.438271771,1.683859587
8/8/2020,DFO2,0.030605288,0.002010032,0.049347906,0.242285788,0.145348441,0,0.35034514,1.369690319
9/3/2020,KC10,0.034043938,0.084213899,0.17205521,0.486551791,0.145427083,0,0.269302967,0.330430816
9/4/2020,QCS01,0.237443959,0.418667709,0.352937197,0.485182757,0.142933788,0.183384725,0.354203482,0
9/5/2020,DFO2,0.025709829,0,0.070484079,0.175655169,0.062435523,0,0.124824744,0.098364579
10/1/2020,KC10,0.018509921,0.065448615,0.139684378,0.556310952,0.318308671,0,0.279675141,0.487001439
10/2/2020,QCS01,0.023134615,0.070393806,0.099791388,0.220213167,0.129192277,0,0.235546055,0.037423854
10/4/2020,DFO2,0.00540884,0.026774572,0.08174881,0.273894581,0.11676913,0.07307132,0.16092245,0.473598172
11/4/2020,KC10,0.000101957,0.017922703,0.060229779,0.081013372,0.07379052,0.074327948,0.082337492,0
11/27/2020,KC10,0.03547923,0.008392504,0.025770841,0,0.030464663,0,0.035514328,0
11/30/2020,DFO2,0.009257973,0.012628115,0.036467363,0.038342395,0.0448225,0,0.073273208,0
1/16/2019,QU39,0,0.021529647,0.13286136,0.165841967,0.10556329,0.091721182,0.202371528,0
1/23/2019,QU39,0,0.014476753,0.093659426,0.021192947,0.079615415,0.066105573,0.133955614,0
1/29/2019,QU39,0,0.019484963,0.132288177,0.093477281,0.092357809,0.082627303,0.159664782,0
2/5/2019,QU39,0.012896774,0.000188441,0.033354572,0.201786478,0.000335374,0,0.043155974,0.161867194
2/5/2019,QU39,0.011623083,0.007318214,0.029301343,0.181448559,0.013329891,0,0.039300434,0.121072245
2/5/2019,QU39,0.013468034,0.008512231,0.036629405,0.247463271,9.39693E-05,0,0.05023216,0.16861891
2/12/2019,QU39,0,0.02225135,0.120903783,0.240738424,0.105623563,0.096760834,0.220205891,0
2/21/2019,QU39,0,0.014950586,0.145872891,0.406936904,0.092178869,0.112660325,0.19799651,0
2/26/2019,QU39,0,0.024183317,0.126968108,0.328633929,0.095509976,0.066810222,0.291640768,0
3/5/2019,QU39,0,0.036566169,0.202977615,0.468208412,0.117536241,0.115504137,0.269164354,0
3/12/2019,QU39,0.114671786,0.007544083,0.11028617,1.253970216,0.024001233,0.001134185,0.293231008,6.559908231
3/20/2019,QU39,0.04468197,0.001407568,0.084337381,0.600640794,0.002304958,0,0.113263931,1.731646975
3/27/2019,QU39,0.194883075,0.011057431,0.156662157,1.712137659,0.032992002,0.000718228,0.459433491,8.375968218
4/2/2019,QU39,0,0.166536438,0.006102151,0.082673966,0,0.103245807,0.222872481,0
4/10/2019,QU39,0,0.200268264,0.073073495,0.060494453,0.089336261,0.089529045,0.19814272,0.043318597
5/2/2019,QU39,0,0.701688439,0.252655804,1.408042967,0.898504665,0.311154892,0.7853281,0.230520112
5/9/2019,QU39,0.098454865,0.076175472,0.400627573,1.072415928,0.283446752,0.065432457,0.061159787,1.767536819
5/22/2019,QU39,0.002895488,0.168093177,0,0.079382211,0.081869885,0,0.086407841,0
5/29/2019,QU39,0.021963708,1.357218862,0.206285603,2.085654179,0.468955621,0.117013659,0,0.431905404
6/4/2019,QU39,0.222111594,0.111805484,1.30495729,0.697029114,0.000211963,0,0.263349786,0.15998065
6/20/2019,QU39,0.030249615,0.054972146,0.300543641,0.499259939,0.095413531,0.189713215,0,0
6/25/2019,QU39,0.313283088,0.309643239,0.637262324,3.055685679,0.612058361,0.337050031,0.656862547,0
7/3/2019,QU39,0.180662689,0.27308965,0.231372483,0.360702967,0,0.052822506,0.626105964,0
7/9/2019,QU39,0.38174743,0.052634586,0.245320164,0.548773497,0.10817326,0.039966701,0.053954348,0
7/18/2019,QU39,0.481022884,0.076323179,0.613276591,1.422033767,0.087632635,0.026037712,0,0
7/24/2019,QU39,0.926854581,0.062105463,1.414123793,0.902488967,0.097897222,0.024980705,0.185219767,0
7/30/2019,QU39,0.060272845,0.058149254,0.299625352,0.299106121,0.161574403,0.013812297,0.187757986,0
8/7/2019,QU39,1.677088757,0.041535243,0.720198154,0.86205709,0.139553417,0.007711409,0.002044309,0
8/15/2019,QU39,0.439436615,0.0570433,0.303942959,0.614275674,0.085257207,0.087865845,0.023142409,0
8/20/2019,QU39,0.804341147,0.088962288,0.67610997,1.706996739,0.149501825,0.013081074,0.002496561,0
8/29/2019,QU39,0.230661313,0.03898717,0.386281292,0.705220222,0.094061088,0.085654432,0.140397621,0
9/4/2019,QU39,0.737521331,0.145863275,0.495678738,1.524789015,0.238332219,0.085526954,0.495315279,0.168747383
9/19/2019,QU39,0.155037968,0.04383995,0.302908242,0.704339137,0.103858512,0.097989208,0.191976565,0
9/24/2019,QU39,0.483219787,0.076126692,0.784825186,0.635682523,0,0.031849546,0.391213636,0.47016647
10/9/2019,QU39,0.301505792,0.038127042,0.25171492,0.503890038,0.090600704,0.0773934,0.141282291,0
10/18/2019,QU39,0.175214248,0.044449811,0.21791547,0.246626735,0.113280911,0.061862864,0,0.111818068
10/30/2019,QU39,0.086490384,0.049237202,0.265084927,0.481092319,0.149945661,0.081793621,0.225849648,0.103599726
11/5/2019,QU39,0.46147048,0.093349361,0.495848328,0.824262023,0.140624955,0.149723283,0.171860995,0.078738974
11/13/2019,QU39,0.256157664,0.054531169,0.338943124,0.666876674,0,0.196054017,0.00499081,0.216081619
11/20/2019,QU39,0.078441059,0.028583842,0.1750285,0.256239618,0.119797209,0.135733684,0,0.007309879
11/26/2019,QU39,0.040564071,0.021459335,0.228849153,0.34444797,0.09910804,0.083124998,0.137867533,0
12/3/2019,QU39,0.008547528,0.014509794,0.222501201,0.248366545,0.111361368,0.10409701,0.210025358,0.002619506
1/8/2020,QU39,0,0.010274323,0.062055386,0.064747347,0.055169464,0.051566284,0.09108564,0
1/28/2020,QU39,0,0.010759442,0.071972238,0.040690878,0.060752344,0.053547099,0.07455383,0
2/5/2020,QU39,0,0.00737692,0.07004675,0.016662023,0.057971694,0.056441631,0.08338451,0
2/18/2020,QU39,0,0.014000998,0.105647857,0.317909425,0.080489796,0.057747326,0.061945203,0
2/26/2020,QU39,0.002511813,0.01743843,0.13897845,0.323032772,0.075471453,0.074853729,0.111033216,0
3/6/2020,QU39,0.015261853,0.010177871,0.078320723,0.246836876,0.072920972,0,0.200330851,0.015120858
3/12/2020,QU39,0,0,0.019342565,0,0.036616525,0,0.073595807,0
3/18/2020,QU39,0.148945535,0.002084,0.142386453,0.974414418,0.242900347,0,0.808196058,3.879836996
4/29/2020,QU39,0.041973618,0.001098518,0.07589907,0.257614021,0.202037719,0,0.574813142,1.22358046
5/14/2020,QU39,0.031380403,0.000212397,0.39666675,1.17884476,0.457881391,0,0.514077072,1.817111611
5/26/2020,QU39,0.000159745,0.113300722,0.115681255,0.666600406,0.07554089,0.070671769,0.121091469,0
6/4/2020,QU39,0.044137077,0.06743166,0.180572152,0.994880786,0.234299148,0.085117536,0.177602487,0
6/11/2020,QU39,0.072277178,0.013197691,0.062503627,0.314136634,0.08495385,0.051011713,0.125770611,0.005512851
6/17/2020,QU39,0.309582765,0.020000834,0.271698825,0.390863086,0.108672978,0.056001365,0.294031208,0.08981362
6/25/2020,QU39,0.453703766,0.015436172,0.1639958,0.283400213,0.086470101,0.055088791,0.005397415,0
6/30/2020,QU39,0.241781903,0.003076405,0.26520055,0.903719028,0.247635633,0,0.62178426,2.913772742
7/9/2020,QU39,0.020078293,0.036437374,0.085733066,0.490634675,0.08798959,0.078648689,0.076468875,0
7/15/2020,QU39,0.00840917,0.252101916,0.366179585,0.997130672,0.163424517,0.118275849,0,0
7/22/2020,QU39,0.057076859,0.028599573,0.473167246,0.398052896,0.080996871,0.130689003,0.011967528,0
7/29/2020,QU39,0.180295975,0.000931117,0.14098113,0.374972259,0.155140236,0,0.045300932,1.01072369
8/4/2020,QU39,0.333611305,0.041849958,0.202804978,0.298252712,0.070413366,0.044308613,0.049052192,0
8/13/2020,QU39,0.010526947,0.019871352,0.2302174,0.175315835,0.061748592,0.075974961,0.092908112,0
8/19/2020,QU39,0.03641526,0.069317557,0.13384766,0.042056385,0.109692965,0.104938626,0.241448082,0
8/26/2020,QU39,0.058588203,0.033429707,0.164592219,0.438110545,0.125421602,0.088257725,0.197108778,0.024915723
9/1/2020,QU39,0.053740865,0.077013914,0.322695603,0.588978132,0.154592072,0.099613248,0.358002062,0.423778057
9/10/2020,QU39,0.110826753,0.083342843,0.069039136,0.070226285,0.164397652,0,0.317932713,0.298477881
9/16/2020,QU39,0.130583877,0.09286198,0.126477191,0.217047242,0.076208631,0.087095601,0.045692049,0
9/22/2020,QU39,0.487975409,0.07107228,0.306892251,0.607904474,0,0.099196682,0.125826444,0
9/29/2020,QU39,0.11990218,0.019896763,0.156164885,0.383129418,0,0.065619495,0.061305121,0
10/8/2020,QU39,0.038757669,0.066873715,0.180434649,0.199658955,0.092488262,0.094532248,0.108878116,0
10/14/2020,QU39,0.02362555,0.043580432,0.079321717,0.035750293,0.065283918,0.069647104,0.084646696,0
10/20/2020,QU39,0.015407694,0.017312463,0.145514565,0.157931219,0.071421772,0.060185721,0.082145197,0
10/30/2020,QU39,0.024272734,0.019404089,0.112502174,0.019443227,0,0.082906255,0.094485273,0
11/5/2020,QU39,0.059251983,0.027210009,0.145827944,0.222925194,0.066023537,0.093447506,0.107060036,0
11/10/2020,QU39,0.000541159,0.007818509,0.070840225,0.065430146,0.055396205,0.055151797,0.075715885,0
11/19/2020,QU39,3.74394E-05,0.008671769,0.048753964,0.044554206,0.0496226,0.045209697,0.05323389,0
12/1/2020,QU39,0.0002738,0.010431036,0.057615753,0.070550334,0.057274173,0.052336703,0.063525861,0
12/8/2020,QU39,0,0,0.03834088,0,0.039200706,0.033987399,0.032274564,0
12/17/2020,QU39,0,0,0.054680996,0.015580902,0.046080747,0.045203105,0.059853646,0
